Frame,Hand,Landmark,X,Y,Z
27,Left,20,0.0863877385854721,0.5282377004623413,-0.06635531038045883
28,Left,0,0.2558920085430145,0.9582211971282959,4.3732529775297735e-07
28,Left,1,0.32829248905181885,0.890791118144989,-0.015742365270853043
28,Left,2,0.3772290349006653,0.7780430316925049,-0.016260134056210518
28,Left,3,0.40129175782203674,0.6944260001182556,-0.018164323642849922
28,Left,4,0.4238435626029968,0.636231005191803,-0.0194340068846941
28,Left,5,0.321341872215271,0.6428460478782654,0.0029807663522660732
28,Left,6,0.35486942529678345,0.5406855940818787,-0.010995639488101006
28,Left,7,0.37731629610061646,0.47755908966064453,-0.026327675208449364
28,Left,8,0.39404648542404175,0.4266495704650879,-0.037764452397823334
28,Left,9,0.2703254520893097,0.6279036402702332,-0.004122250713407993
28,Left,10,0.27525269985198975,0.5060957670211792,-0.012161395512521267
28,Left,11,0.28026553988456726,0.4292981028556824,-0.024953527376055717
28,Left,12,0.28196191787719727,0.36852332949638367,-0.03549264743924141
28,Left,13,0.2225589156150818,0.641112744808197,-0.015771882608532906
28,Left,14,0.21562761068344116,0.526780366897583,-0.02728395164012909
28,Left,15,0.21402350068092346,0.4525899291038513,-0.0448116660118103
28,Left,16,0.21351701021194458,0.3908067047595978,-0.05895451828837395
28,Left,17,0.17770175635814667,0.6822993755340576,-0.029686303809285164
28,Left,18,0.13749124109745026,0.6169267296791077,-0.04651009663939476
